year,make,model,problem
2009,Ford,F-150,TPMS light on
2009,Ford,F-150,Wheel bearing humming noise
2009,Ford,F-150,Power window won't go up
2009,Ford,F-150,Rough shifting at low speeds
2009,Ford,F-150,Coolant leak near water pump
2009,Ford,F-150,Won't start
2009,Ford,F-150,Brake squeal when stopping
2009,Ford,F-150,Key fob not working
2009,Ford,F-150,ABS light on
2009,Ford,F-150,Oil leak near valve cover
2009,Ford,F-150,O2 sensor code
2009,Ford,F-150,Overheating in traffic
2010,Ford,F-150,Squealing serpentine belt
2010,Ford,F-150,Battery drains overnight
2010,Ford,F-150,Won't start
2010,Ford,F-150,Steering wheel vibration at highway speed
2010,Ford,F-150,Oil leak near valve cover
2010,Ford,F-150,P0420 catalytic converter efficiency
2010,Ford,F-150,Power steering hard to turn
2010,Ford,F-150,Transmission slipping between gears
2010,Ford,F-150,Rough shifting at low speeds
2010,Ford,F-150,EPC light on
2011,Ford,F-150,Power window won't go up
2011,Ford,F-150,P0420 catalytic converter efficiency
2011,Ford,F-150,Key fob not working
2011,Ford,F-150,Overheating in traffic
2011,Ford,F-150,EPC light on
2011,Ford,F-150,P0442 EVAP small leak
2011,Ford,F-150,TPMS light on
2011,Ford,F-150,O2 sensor code
2011,Ford,F-150,Squealing serpentine belt
2011,Ford,F-150,AC not blowing cold
2011,Ford,F-150,ABS light on
2011,Ford,F-150,Wheel bearing humming noise
2012,Ford,F-150,Rough idle when cold
2012,Ford,F-150,Alternator failure
2012,Ford,F-150,Key fob not working
2012,Ford,F-150,O2 sensor code
2012,Ford,F-150,Oil leak near valve cover
2012,Ford,F-150,Brake squeal when stopping
2012,Ford,F-150,TPMS light on
2012,Ford,F-150,Coolant leak near water pump
2012,Ford,F-150,ABS light on
2012,Ford,F-150,Wheel bearing humming noise
2012,Ford,F-150,Squealing serpentine belt
2013,Ford,F-150,Steering wheel vibration at highway speed
2013,Ford,F-150,Rough shifting at low speeds
2013,Ford,F-150,P0442 EVAP small leak
2013,Ford,F-150,Transmission slipping between gears
