year,make,model,problem
2010,Ford,F-150,Power window won't go up
2010,Ford,F-150,Battery drains overnight
2010,Ford,F-150,Transmission slipping between gears
2010,Ford,F-150,Brake squeal when stopping
2010,Ford,F-150,Steering wheel vibration at highway speed
2010,Ford,F-150,Overheating in traffic
2010,Ford,F-150,Rough idle when cold
2011,Ford,F-150,Won't start
2011,Ford,F-150,Battery drains overnight
2011,Ford,F-150,Alternator failure
2011,Ford,F-150,Rough idle when cold
2011,Ford,F-150,Wheel bearing humming noise
2011,Ford,F-150,Steering wheel vibration at highway speed
2011,Ford,F-150,Power window won't go up
2012,Ford,F-150,Transmission slipping between gears
2012,Ford,F-150,TPMS light on
2012,Ford,F-150,Rough idle when cold
2012,Ford,F-150,Overheating in traffic
2012,Ford,F-150,Wheel bearing humming noise
2012,Ford,F-150,Power window won't go up
2012,Ford,F-150,ABS light on
2013,Ford,F-150,Won't start
2013,Ford,F-150,Transmission slipping between gears
2013,Ford,F-150,Oil leak near valve cover
2013,Ford,F-150,Overheating in traffic
2013,Ford,F-150,P0420 catalytic converter efficiency
2013,Ford,F-150,Battery drains overnight
2013,Ford,F-150,Alternator failure
2014,Ford,F-150,Won't start
2014,Ford,F-150,Power window won't go up
2014,Ford,F-150,Battery drains overnight
2014,Ford,F-150,P0420 catalytic converter efficiency
2014,Ford,F-150,Wheel bearing humming noise
2014,Ford,F-150,Alternator failure
2014,Ford,F-150,Steering wheel vibration at highway speed
2015,Ford,F-150,Overheating in traffic
2015,Ford,F-150,Transmission slipping between gears
2015,Ford,F-150,Rough idle when cold
2015,Ford,F-150,Wheel bearing humming noise
2015,Ford,F-150,Won't start
2015,Ford,F-150,P0442 EVAP small leak
2015,Ford,F-150,ABS light on
2016,Ford,F-150,Steering wheel vibration at highway speed
2016,Ford,F-150,Rough idle when cold
2016,Ford,F-150,Wheel bearing humming noise
2016,Ford,F-150,Power window won't go up
2016,Ford,F-150,Overheating in traffic
2016,Ford,F-150,Oil leak near valve cover
2016,Ford,F-150,P0442 EVAP small leak
2017,Ford,F-150,Steering wheel vibration at highway speed
2017,Ford,F-150,TPMS light on
2017,Ford,F-150,P0420 catalytic converter efficiency
